pfam_id,primary_role,resistant,reason
PF02852,tailoring,no,The domain includes oxidoreductases which are involved in chemical modifications of compounds.
PF02861,other,no,"The Clp_N domain is associated with protein binding in ClpA and ClpB proteins, but its function is uncertain and not directly related to biosynthetic processes or resistance."
PF02863,regulation,no,"The domain is involved in regulating gene expression by binding arginine, but does not confer resistance."
PF02866,other,no,"L-lactate dehydrogenases are metabolic enzymes involved in glycolysis and the citric acid cycle, not directly related to biosynthetic gene clusters."
PF02867,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance role.
PF02868,other,no,The domain is a peptidase but lacks specific information indicating a role in biosynthetic gene clusters or resistance.
PF02870,tailoring,no,"The domain is involved in methyltransferase activity, which modifies DNA rather than directly participating in biosynthetic backbone assembly."
PF02872,other,no,The domain is not specific to biosynthetic gene clusters and does not confer resistance.
PF02873,core,no,"MurB_C is involved in the biosynthesis of peptidoglycan, which is a core process in bacterial cell wall assembly."
PF02874,other,no,ATP synthase is a general metabolic enzyme not specific to biosynthetic gene clusters.
PF02875,other,no,"The domain is involved in peptidoglycan synthesis and related ligase activities, which are not specific to biosynthetic gene clusters."
PF02876,other,no,"The domain name and description do not provide specific information about its function related to biosynthesis, transport, or regulation."
PF02878,other,no,The domain description is not specific to biosynthetic functions or resistance.
PF02879,other,no,The domain PGM_PMM_II does not have a specific function related to biosynthetic gene clusters and is categorized as 'other'.
PF02880,other,no,The domain PGM_PMM_III does not have a specific role in biosynthetic gene clusters and is categorized as a general metabolic enzyme.
PF02881,other,no,The domain SRP54_N does not have a specific function related to biosynthetic gene clusters or resistance.
PF02882,other,no,"The description does not provide any information indicating a specific functional role related to biosynthesis, transport, or regulation."
PF02884,other,no,"The domain is a lyase involved in breaking down host tissue components, but it does not directly relate to biosynthetic processes or resistance."
PF02885,other,no,"The domain is involved in transferring phosphorylated ribose substrates but does not directly relate to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF02887,other,no,Pyruvate kinase is involved in glycolysis and not directly related to biosynthetic gene clusters.
PF02893,other,no,The GRAM domain is associated with various membrane proteins and does not directly relate to biosynthetic functions or resistance.
PF02894,other,no,"The GFO_IDH_MocA_C domain is part of a family of enzymes that utilize NADP or NAD, which does not directly relate to biosynthetic processes or resistance."
PF02895,regulation,no,"The domain is part of a histidine kinase involved in signal transduction, which is a regulatory function."
PF02896,other,no,The domain is involved in PEP-utilization but does not directly relate to biosynthetic pathways or resistance.
PF02897,other,no,The domain is involved in protecting the catalytic triad of a peptidase but does not directly contribute to biosynthetic processes or resistance.
PF02898,core,no,"NO_synthase is involved in the biosynthetic pathway for nitric oxide, which is a core function in certain biosynthetic processes."
PF02899,other,no,The domain is related to phage integration and does not have a specific biosynthetic function or known resistance role.
PF02900,other,no,The description does not provide specific information about the functional role of LigB.
PF02901,other,no,The enzymes listed are involved in various metabolic processes but do not directly relate to biosynthetic gene clusters or resistance.
PF02902,other,no,The domain is a peptidase and does not directly relate to biosynthetic processes or resistance.
PF02903,other,no,"Alpha-amylase is a general enzyme involved in carbohydrate metabolism, not specific to biosynthetic gene clusters."
PF02906,other,no,The domain is not described and does not indicate a specific function related to biosynthetic gene clusters.
PF02909,regulation,no,"TetR_C_1 is a transcriptional regulator domain, which fits under regulation."
PF02910,other,no,The domain is involved in metabolic processes but not directly in biosynthetic pathways or resistance.
PF02911,other,no,The domain is not described in a way that indicates a specific biosynthetic function or resistance.
PF02912,other,no,"The domain is related to tRNA synthetases, which are not directly involved in biosynthetic gene clusters."
PF02913,other,no,"The domain is described as having a ferredoxin-like fold, which does not indicate a specific role in biosynthesis, modification, transport, or regulation."
PF02914,other,no,"The domain is a transposase involved in DNA integration and replication, not directly related to biosynthetic functions."
PF02915,other,no,"Rubrerythrin is a domain with a ferritin-like fold, not directly involved in biosynthetic processes or resistance."
PF02917,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance role.
PF02920,other,no,Integrase_DNA is not directly involved in biosynthetic processes or resistance.
PF02922,other,no,"The domain is involved in enzymes that act on branched substrates, which does not fit into the core, tailoring, transport, or regulation categories."
PF02923,other,no,"BamHI is a restriction enzyme, which does not fit into the specified biosynthetic roles."
PF02924,other,no,"The domain name and description do not provide specific information indicating a role in biosynthesis, transport, regulation, or resistance."
PF02926,other,no,The THUMP domain is involved in RNA modification and does not directly relate to biosynthetic gene clusters or confer resistance.
PF02927,other,no,The domain description does not provide information indicating a specific biosynthetic function or resistance.
PF02929,other,no,"The domain is related to beta-galactosidases, which are general metabolic enzymes and not specific to biosynthetic gene clusters."
PF02931,other,no,The domain is related to ion channels and does not directly participate in biosynthetic processes or confer resistance.
PF02932,other,no,"The domain is part of an ion channel, which does not directly relate to biosynthetic functions or resistance."
PF02933,other,no,"The domain is related to ATPase activity and substrate recognition, which is not specific to biosynthetic gene clusters."
PF02934,other,no,The GatB_N domain is not directly involved in biosynthetic processes or resistance.
PF02941,other,no,The domain name and description do not provide specific information about a biosynthetic function or resistance.
PF02943,other,no,The domain description is not specific enough to assign a functional role related to biosynthetic gene clusters.
PF02945,other,no,Endonuclease_7 is not directly related to biosynthetic functions or resistance.
PF02951,other,no,The domain GSH-S_N does not have a specific function related to biosynthetic gene clusters and is categorized as 'other'.
PF02952,other,no,"The domain is involved in fucose metabolism, which is not directly related to biosynthetic gene clusters or resistance."
PF02954,other,no,The domain is not described and does not indicate a specific function related to biosynthetic gene clusters.
PF02955,other,no,The domain is not described in a way that indicates a specific biosynthetic function or resistance.
PF02958,other,no,The domain is involved in phosphorylation and detoxification processes but is not directly related to biosynthetic pathways or resistance.
PF02962,other,no,"The description does not provide any specific information about a functional role related to biosynthesis, transport, regulation, or tailoring."
PF02964,other,no,"The domain description is not provided, and thus it cannot be classified into a specific functional role."
PF02965,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF02971,other,no,The domain FTCD does not have a specific function related to biosynthetic gene clusters or resistance.
PF02974,other,yes,"The Inh inhibitor protects periplasmic proteins from proteases, indicating a role in self-protection."
PF02975,other,no,The domain name and description do not provide specific information about its role in biosynthesis or resistance.
PF02976,other,no,MutH is not directly involved in biosynthetic processes or resistance mechanisms.
PF02978,other,no,The description does not provide any information indicating a specific functional role related to biosynthesis or resistance.
PF02979,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance role.
PF02983,other,no,"The domain is a protease, which does not directly relate to biosynthetic gene clusters or resistance."
PF02985,other,no,HEAT repeats are structural motifs and do not have a specific role in biosynthetic gene clusters or resistance.
PF02987,other,no,LEA proteins are involved in stress response but do not have a defined role in biosynthetic gene clusters or resistance.
PF03006,other,no,"The description indicates a role in metabolic pathways and receptor activity, which does not fit the specific biosynthetic roles."
PF03008,other,no,The domain is classified as 'DUF' with no specific function or relation to biosynthetic gene clusters.
PF03009,other,no,"The GDPD domain is involved in phosphodiesterase activity, which does not directly relate to biosynthetic pathways or resistance."
PF03013,other,no,"The domain is involved in DNA repair, not directly related to biosynthetic processes or resistance."
PF03015,other,no,The domain is related to a male sterility protein and does not have a direct role in biosynthetic processes or resistance.
PF03018,other,no,"Dirigent proteins are involved in lignification during disease response in plants, which does not directly relate to biosynthetic gene clusters or resistance."
PF03022,other,no,"MRJP is related to royal jelly proteins and pigmentation control, not directly involved in biosynthetic processes or resistance."
PF03023,transport,yes,"MurJ is a lipid II flippase involved in peptidoglycan synthesis and belongs to a family of transporters that includes multidrug and toxic compound extrusion transporters, indicating a role in resistance."
PF03029,other,no,The domain is related to ATP binding but does not directly participate in biosynthetic processes or confer resistance.
PF03030,other,no,"The domain is a proton pump involved in establishing electrochemical gradients, not directly related to biosynthetic pathways or resistance."
PF03031,other,no,"The domain is related to phosphatase activity and RNA polymerase II, which are not specific to biosynthetic gene clusters."
PF03033,tailoring,no,"Glycosyltransferases modify compounds by adding sugar moieties, fitting the tailoring role."
PF03040,other,no,The function of CemA proteins is unknown and they are not specifically related to biosynthetic processes or resistance.
PF03047,other,no,"ComC is involved in signaling for competence in streptococci, not directly in biosynthesis or resistance."
PF03050,other,no,"Transposase proteins are involved in DNA transposition, not directly related to biosynthetic gene clusters or resistance."
PF03051,other,no,"The domain is related to aminopeptidases and hydrolases, which do not directly participate in biosynthetic pathways or confer resistance."
PF03054,tailoring,no,"The domain is involved in the methylation of tRNA, which is a chemical modification of nucleosides, classifying it as a tailoring enzyme."
PF03055,other,no,"The domain is related to a receptor and enzymes involved in pigment metabolism, not directly linked to biosynthetic functions or resistance."
PF03059,other,no,"Nicotianamine synthase is involved in iron uptake and phytosiderophore synthesis, but does not directly relate to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03060,other,no,"NMO is an enzyme involved in the oxidation of nitronates and nitroalkanes, which does not fit into the core, tailoring, transport, or regulation categories."
PF03061,tailoring,no,"The domain is involved in the hydrolysis of thioesters, which is a chemical modification process, classifying it as a tailoring enzyme."
PF03062,tailoring,no,"MBOAT is involved in acyltransferase activity, which modifies compounds but does not confer resistance."
PF03063,other,no,"The domain is involved in hydroxylamine reductase activity and CO dehydrogenase, but does not directly relate to biosynthetic pathways or resistance."
PF03065,other,no,"The domain includes enzymes involved in carbohydrate metabolism, which are not directly related to biosynthetic gene clusters."
PF03067,other,no,The domain is involved in cellulose degradation but does not directly relate to biosynthetic processes or resistance.
PF03068,other,no,PAD enzymes are involved in post-translational modification and not directly related to biosynthetic pathways or resistance.
PF03069,other,no,"FmdA_AmdA is an amidohydrolase involved in the hydrolysis of amides, which does not directly relate to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03070,other,no,"The domain is involved in thiamine biosynthesis and the synthesis of PQQ, but its exact function is unclear and does not directly relate to biosynthetic pathways or resistance."
PF03071,tailoring,no,"The domain is involved in the modification of glycoproteins, specifically in the transfer of N-acetyl-D-glucosamine, which is a tailoring function."
PF03073,transport,yes,"TspO_MBR is involved in the efflux of porphyrin intermediates, indicating a role in transport and resistance to toxic compounds."
PF03079,other,no,"ARD is involved in a metabolic pathway but does not directly contribute to biosynthetic assembly, modification, transport, or regulation."
PF03080,other,no,"Neprosin is a peptidase from pitcher plants, not directly involved in biosynthetic pathways or resistance."
PF03083,transport,yes,Includes specific sugar efflux transporters that are exploited by bacterial pathogens for virulence.
PF03088,core,no,"Strictosidine synthase is directly involved in the biosynthetic pathway of alkaloids, specifically in the assembly of the strictosidine backbone."
PF03090,other,no,"Replicase proteins are involved in DNA replication, not directly related to biosynthetic gene clusters or resistance."
PF03091,other,yes,"CutA1 is involved in cellular tolerance to divalent cations, indicating a role in resistance."
PF03092,transport,no,"The domain is associated with transmembrane proteins that transport pteridines, but there is no indication of resistance or self-protection."
PF03096,other,no,The function of Ndr proteins is not clearly defined and does not directly relate to biosynthetic processes or resistance.
PF03098,other,no,"The domain is an an_peroxidase, which does not fit into the specified categories related to biosynthetic gene clusters."
PF03099,other,no,"The domain is involved in attaching biotin and lipoic acid to enzymes, which is not directly related to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03100,other,no,"CcmE is involved in cytochrome c biosynthesis but does not fit into core, tailoring, transport, or regulation categories."
PF03102,other,no,"NeuB is involved in the biosynthesis of sialic acid but does not fit into core, tailoring, transport, or regulation categories."
PF03104,other,no,"The domain is involved in exonuclease activity, which is not specific to biosynthetic gene clusters."
PF03109,other,no,The ABC1 family does not have a clear role in biosynthetic processes or resistance; it is suggested to be involved in chaperoning and electron transfer.
PF03116,regulation,no,"The domain is involved in regulating the expression of virulence factors, indicating a regulatory function rather than direct biosynthetic activity."
PF03118,other,no,"RNA polymerase is involved in transcription, not directly in biosynthetic pathways."
PF03119,other,no,"DNA ligases are involved in DNA replication and repair, not directly related to biosynthetic gene clusters."
PF03120,other,no,"DNA ligase is involved in DNA replication and repair, not directly related to biosynthetic gene clusters."
PF03123,regulation,no,"The CAT_RBD domain is involved in regulating gene expression by binding to RNA, specifically in transcriptional antitermination, but does not confer resistance."
PF03129,other,no,"The domain is related to tRNA synthetases, which are not specific to biosynthetic gene clusters."
PF03130,other,no,"The domain is involved in the attachment and isomerization of phycobilins in photosynthetic complexes, which does not directly relate to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03131,regulation,no,Maf transcription factors are involved in gene regulation through DNA binding.
PF03133,other,no,"TTL is involved in post-translational modifications of tubulin, which is not specific to biosynthetic gene clusters."
PF03135,transport,no,"CagE is part of a type IV secretion system, which is involved in transporting molecules but not specifically linked to resistance."
PF03136,other,no,"Pup_ligase is involved in protein modification and degradation, not directly related to biosynthetic pathways or resistance."
PF03139,other,no,"The domain is part of the nitrogenase complex involved in nitrogen fixation, which does not directly relate to biosynthetic gene clusters or resistance."
PF03142,core,no,"Chitin synthase is directly involved in the biosynthetic assembly of chitin, a key structural component."
PF03143,other,no,"The domain is part of an elongation factor involved in protein synthesis, not directly related to biosynthetic pathways or resistance."
PF03144,other,no,This domain is involved in protein synthesis and does not directly relate to biosynthetic gene clusters or resistance.
PF03147,other,no,The domain is related to tRNA synthetases and does not directly participate in biosynthetic processes or confer resistance.
PF03150,other,no,"CCP_MauG is a cytochrome c peroxidase involved in redox reactions, not directly related to biosynthetic pathways or resistance."
PF03160,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF03161,other,no,"LAGLIDADG_2 is a family of site-specific DNA endonucleases, which are not directly involved in biosynthetic processes or resistance."
PF03162,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF03167,other,no,The domain UDG does not have a specific biosynthetic function related to BGCs and is categorized as 'other'.
PF03168,other,no,LEA proteins are not directly involved in biosynthetic processes or resistance mechanisms.
PF03169,transport,no,OPT transporters are involved in the transport of oligopeptides but are not specifically linked to resistance or self-protection.
PF03170,other,no,"BcsB is involved in cellulose synthesis, which is not directly related to biosynthetic gene clusters or resistance."
PF03171,tailoring,no,"The domain is involved in the modification of substrates through hydroxylation, which is a tailoring process."
PF03173,other,no,The domain is a carbohydrate binding domain and does not directly relate to biosynthetic functions or resistance.
PF03174,other,no,"The domain is part of chitobiases and beta-hexosaminidases, which are not directly involved in biosynthetic gene clusters."
PF03175,other,no,DNA polymerase type B proteins are not directly involved in biosynthetic gene clusters or resistance.
PF03176,transport,no,"Putative integral membrane proteins suggested to be involved in lipid transport, but not directly linked to resistance."
PF03180,transport,no,"The domain is involved in transport as a substrate-binding component of a D-methionine permease and ABC transporters, but not directly related to resistance."
PF03186,core,no,"CobD is involved in cobalamin biosynthesis, which is part of the core biosynthetic pathway."
PF03188,other,no,Cytochrome b561 is involved in electron transport but does not directly relate to biosynthetic gene clusters or resistance.
PF03190,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF03193,other,no,RsgA is a GTPase involved in growth and not directly related to biosynthetic processes or resistance.
PF03198,other,no,"The domain is related to glycosyltransferases, which are not directly involved in biosynthetic pathways or resistance."
PF03200,other,no,"This domain is a glycosyl hydrolase involved in carbohydrate processing, not directly related to biosynthetic pathways or resistance."
PF03203,other,no,The description does not provide information indicating a specific functional role related to biosynthetic gene clusters or resistance.
PF03205,other,no,"MobB is a protein with a P-loop, which does not directly relate to biosynthetic functions or resistance."
PF03206,other,no,"NifW is an accessory protein involved in nitrogenase assembly, not directly related to biosynthetic pathways or resistance."
PF03209,regulation,no,"The protein is involved in transcription regulation of the PUC operon, not directly related to biosynthetic functions or resistance."
PF03211,other,no,Pectate lyase is involved in the degradation of pectin and does not directly relate to biosynthetic gene clusters or resistance.
PF03212,other,no,Pertactin is not directly involved in biosynthetic processes or resistance mechanisms.
PF03214,other,no,The domain RGP does not have a specific function related to biosynthetic processes or resistance based on the provided description.
PF03217,other,no,The SlpA domain is associated with bacterial cell surface proteins and does not directly relate to biosynthetic functions or resistance.
PF03219,other,no,The domain name and description do not provide specific information related to biosynthetic functions or resistance.
PF03222,transport,no,"The domain is related to transport, but no specific resistance or self-protection function is indicated."
PF03230,other,no,The domain is involved in antirestriction but does not directly relate to biosynthetic functions or resistance mechanisms.
PF03232,other,no,"COQ7 is involved in coenzyme Q biosynthesis but does not directly fit into core, tailoring, transport, or regulation roles."
PF03237,other,no,"The domain is related to terminase large subunits involved in viral DNA packaging, which does not fit into the biosynthetic categories."
PF03239,other,no,The description does not provide information indicating a specific functional role related to biosynthetic gene clusters.
PF03241,tailoring,no,"HpaB is involved in hydroxylation, a chemical modification of compounds."
PF03243,other,yes,"MerB is involved in the detoxification of organomercurials, conferring resistance to mercury compounds."
PF03245,other,no,"The protein is involved in host lysis, which does not fit into the defined categories of biosynthetic functions, tailoring, transport, or regulation."
PF03253,transport,no,"The domain is involved in transporting urea across membranes, but does not confer resistance."
PF03255,other,no,ACCA is involved in metabolic processes but does not directly relate to biosynthetic gene clusters or resistance.
PF03259,other,no,"The domain is associated with dynein functions and structural roles, not directly involved in biosynthetic processes or resistance."
PF03264,other,no,"Cytochrom_NNT is a cytochrome c protein involved in electron transport, not directly related to biosynthetic functions or resistance."
PF03265,other,no,"DNase_II is a domain associated with deoxyribonuclease activity, which does not fit into the specified categories for biosynthetic gene clusters."
PF03266,other,no,"The domain is an NTPase involved in ATP/GTP hydrolysis, not directly related to biosynthetic functions or resistance."
PF03270,other,no,The domain is associated with nitrogen fixation but does not directly relate to biosynthetic processes or resistance.
PF03272,other,no,"The domain is related to substrate binding for metallopeptidases, not directly involved in biosynthetic processes or resistance."
PF03275,other,no,The domain GLF does not have a specific function related to biosynthetic gene clusters or resistance.
PF03279,tailoring,no,"Acyltransferases are involved in modifying biosynthetic products, fitting the tailoring category."
PF03280,other,no,Lipase domains are general enzymes involved in lipid metabolism and not specific to biosynthetic gene clusters.
PF03283,other,no,"The PFAM description does not provide any specific information about a functional role related to biosynthesis, modification, transport, or regulation."
PF03284,other,no,The description does not provide any specific information about the functional role of the domain.
PF03288,other,no,The domain is involved in viral DNA replication and is not directly related to biosynthetic gene clusters or resistance.
PF03301,other,no,"Trp_dioxygenase is not directly involved in biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03306,other,no,The domain name and description do not provide specific information about its role in biosynthesis or resistance.
PF03308,other,no,"MeaB is involved in metabolic processes related to methylmalonyl-CoA mutase but does not directly contribute to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03309,other,no,"Pan_kinase is involved in CoA biosynthesis but does not directly contribute to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03313,other,no,L-serine dehydratase is involved in gluconeogenesis and not directly related to biosynthetic gene clusters.
PF03315,other,no,L-serine dehydratase is involved in gluconeogenesis and not directly related to biosynthetic gene clusters.
PF03318,other,no,The domain is not directly related to biosynthetic functions or resistance.
PF03319,transport,no,"EutN forms a pore, suggesting a transport function, but is not directly related to resistance."
PF03320,other,no,The domain FBPase_glpX does not have a specific biosynthetic function related to BGCs and is categorized as a general metabolic enzyme.
PF03321,tailoring,yes,The GH3 family modifies plant hormones and is involved in disease resistance and herbicide resistance.
PF03323,other,no,The domain GerA does not have a specific functional role related to biosynthesis or resistance based on the provided description.
PF03328,other,no,"The domain is involved in aldolase activity, which is not directly related to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03330,other,no,"The function of RlpA is not well understood and it is described as a lytic transglycolase, which does not fit into the core, tailoring, or transport categories."
PF03331,core,no,"LpxC is involved in the biosynthesis of lipid A, which is a core component of lipopolysaccharides, indicating a direct role in biosynthetic backbone assembly."
PF03332,other,no,The PMM domain is involved in mannosyl transfer reactions but does not directly participate in biosynthetic backbone assembly or modification.
PF03333,other,no,The description does not indicate a specific biosynthetic function or resistance role.
PF03334,other,no,The domains listed do not directly relate to biosynthetic processes or resistance mechanisms.
PF03349,transport,no,"The domain is involved in the translocation of compounds, specifically in toluene catabolism, but does not confer resistance."
PF03350,other,no,The domain UPF0114 has no specific function described related to biosynthetic gene clusters or resistance.
PF03351,other,no,"The DOMON domain is involved in binding haem and potentially in electron transfer, but it does not directly relate to biosynthetic processes or resistance."
PF03352,other,no,The domain is related to DNA repair and not directly involved in biosynthetic processes or resistance.
PF03358,other,no,The domain is not specified to have a direct role in biosynthesis or resistance.
PF03364,core,no,Polyketide cyclases/dehydrases are directly involved in the assembly of the polyketide backbone.
PF03366,regulation,no,"The YEATS family is involved in transcriptional regulation, not directly in biosynthetic processes or resistance."
PF03371,other,no,"PRP38 is involved in RNA splicing, which is not directly related to biosynthetic gene clusters or resistance."
PF03372,other,no,"The domain includes endonucleases and phosphatases involved in intracellular signaling, which are not specific to biosynthetic gene clusters."
PF03374,other,no,The description does not provide information indicating a specific biosynthetic function or resistance.
PF03377,regulation,no,TAL effectors are DNA-binding proteins that regulate gene expression.
PF03379,transport,no,"CcmB is involved in the export of haem, indicating a transport function, but it is not related to resistance."
PF03382,other,no,"The domain is related to leucine rich repeats, which are not specific to biosynthetic gene clusters and do not confer resistance."
PF03385,tailoring,no,"The STELLO domain is characterized as a glycosyltransferase, which chemically modifies the product scaffold."
PF03388,other,no,Lectins are involved in carbohydrate binding and are not directly related to biosynthetic processes or resistance.
PF03389,other,no,"MobA and MobL are mobilization proteins involved in plasmid transfer, not directly related to biosynthetic functions."
PF03390,transport,no,"The 2HCT domain is a secondary transporter involved in the metabolism of di- and tricarboxylates, not directly related to resistance."
PF03400,other,no,"Transposase proteins are involved in DNA transposition, not directly related to biosynthetic gene clusters or resistance."
PF03401,transport,no,"TctC is a receptor involved in the transport of tricarboxylates, but it is not directly related to resistance or self-protection."
PF03403,other,no,PAF-AH is involved in phospholipid metabolism and not directly related to biosynthetic gene clusters or resistance.
PF03404,other,no,"The Mo-co_dimer domain is involved in dimer formation in oxidoreductases, which is not specific to biosynthetic gene clusters."
PF03405,other,no,FA_desaturase_2 is not directly involved in biosynthetic pathways or resistance mechanisms.
PF03406,other,no,The domain is related to phage tail fibers and does not have a direct role in biosynthetic processes or resistance.
PF03407,other,no,Nucleotide-diphospho-sugar transferases are general metabolic enzymes and do not directly relate to biosynthetic gene clusters.
PF03411,other,no,"The domain is a peptidase, which does not directly relate to biosynthetic gene clusters or resistance."
PF03412,core,no,"The domain is involved in the maturation of bacteriocins, which is part of the biosynthetic process, but does not confer resistance."
PF03413,other,no,"The PepSY domain is related to protease inhibition, which does not fit into the core, tailoring, transport, or regulation categories."
PF03414,tailoring,no,"Glyco_transf_6 is involved in glycosylation, which is a chemical modification of the product scaffold."
PF03415,other,no,"Peptidase_C11 is a peptidase domain, which does not directly relate to biosynthetic gene clusters or resistance."
PF03417,other,no,The domain AAT does not have a specific function related to biosynthetic gene clusters or resistance.
PF03418,other,no,The domain is a peptidase but does not have a specific role in biosynthetic gene clusters or resistance.
PF03419,other,no,The domain is a peptidase but lacks specific information indicating a role in biosynthetic pathways or resistance.
PF03421,other,no,"The domain is a serine/threonine acetyltransferase involved in regulating signaling pathways, not directly related to biosynthetic processes or resistance."
PF03422,other,no,"CBM_6 is a carbohydrate-binding module, which does not have a specific role in biosynthetic pathways or resistance."
PF03423,other,no,The domain CBM_25 does not have a specific function related to biosynthetic gene clusters or resistance.
PF03424,other,no,"The domain is involved in carbohydrate binding, which is not directly related to biosynthetic functions or resistance."
PF03425,other,no,"CBM_11 is a carbohydrate-binding module, which does not directly relate to biosynthetic functions or resistance."
PF03428,other,no,"Replication protein C is involved in viral DNA replication, which does not relate to biosynthetic gene clusters or resistance."
PF03432,other,no,Relaxases are involved in the transfer of genetic information and do not directly contribute to biosynthetic processes or resistance.
PF03433,other,no,"EspA is a structural protein involved in the type III secretion system, not directly related to biosynthetic functions or resistance."
PF03435,other,no,The domain is related to a metabolic enzyme (saccharopine dehydrogenase) and does not directly participate in biosynthetic pathways or confer resistance.
PF03437,other,no,BtpA is associated with photosystem I and does not directly relate to biosynthetic functions or resistance.
PF03441,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF03442,other,no,"The domain is involved in binding cellulose and bacterial cell walls, not directly related to biosynthetic functions or resistance."
PF03444,other,no,"The HrcA_DNA-bdg domain is related to DNA binding and regulation, but does not directly participate in biosynthetic processes or confer resistance."
PF03445,other,no,The domain is uncharacterised and does not have a clear role in biosynthesis or resistance.
PF03446,other,no,"The domain is related to NAD binding in a metabolic enzyme, not directly involved in biosynthesis or resistance."
PF03447,other,no,"The domain is related to NAD binding and is part of a dehydrogenase, which does not directly contribute to biosynthetic processes or resistance."
PF03448,transport,no,"This domain is part of a magnesium transporter, which is involved in the import/export of magnesium ions but does not confer resistance."
PF03449,other,no,The domain is not directly involved in biosynthetic processes or resistance mechanisms.
PF03450,other,no,The domain name and description do not provide specific information about its role in biosynthesis or resistance.
PF03452,other,no,The domain is related to Golgi function and not specific to biosynthetic gene clusters.
PF03453,other,no,The function is uncertain and not directly related to biosynthetic processes or resistance.
PF03454,other,no,"The domain is involved in molybdopterin cofactor biosynthesis, but its exact function is uncertain and does not fit into core, tailoring, or transport categories."
PF03457,other,no,"The HA domain is associated with helicase proteins and is involved in nucleic acid binding, which does not relate to biosynthetic gene clusters."
PF03458,transport,no,"The domain is a glycine transporter, involved in the import of glycine and alanine, but not related to resistance."
PF03459,transport,no,"The TOBE domain is involved in transport, specifically in ABC transporters, but is not directly related to resistance or self-protection."
PF03460,other,no,The domain is involved in reductase activity related to sulfur and nitrogen but does not directly participate in biosynthetic assembly or modification.
PF03461,other,no,The description does not provide specific information about a biosynthetic function or resistance.
PF03462,other,no,"PCRF is involved in peptide chain release, not directly related to biosynthetic pathways or resistance."
PF03466,regulation,no,The domain binds various ligands and is involved in regulatory functions rather than direct biosynthetic processes.
PF03471,transport,yes,"The domain is involved in magnesium and cobalt efflux, indicating a role in transport and resistance to toxic ions."
PF03472,regulation,no,The domain is involved in transcriptional regulation by binding to autoinducer molecules.
PF03473,other,no,"The MOSC domain is involved in sulfur transfer but does not directly participate in biosynthetic backbone assembly, tailoring, transport, or regulation."
PF03476,other,no,The function of this domain is unknown and it does not directly relate to biosynthetic processes or resistance.
PF03477,other,no,The ATP-cone domain is not directly involved in biosynthetic processes or resistance.
PF03479,regulation,no,"The PPC domain is associated with DNA-binding functions, indicating a regulatory role rather than direct biosynthetic or resistance functions."
PF03480,transport,no,"DctP is involved in binding extracellular solutes for transport across the bacterial cytoplasmic membrane, but does not confer resistance."
PF03483,other,no,"The domain is associated with tRNA synthetase beta subunits and non-tRNA synthetase proteins, which do not directly relate to biosynthetic functions or resistance."
PF03484,other,no,"The domain is part of a tRNA synthetase, which is not directly involved in biosynthetic gene clusters."
PF03485,other,no,The domain is involved in tRNA recognition and is not directly related to biosynthetic gene clusters or resistance.
PF03486,other,no,The Rossmann-like domain is a general structural motif and does not directly relate to biosynthetic functions or resistance.
PF03492,tailoring,no,"The domain is involved in the methylation of various substrates, which is a chemical modification process."
PF03495,other,no,"The domain is a calcium binding domain related to anthrax toxin, not directly involved in biosynthetic processes or resistance."
PF03496,other,no,"The domain is involved in ADP-ribosylation, which is a modification process rather than a direct biosynthetic function or resistance mechanism."
PF03497,other,no,The domain is not described in a way that indicates a specific biosynthetic function or resistance.
PF03498,other,no,The description does not provide enough information to classify the domain into a specific functional role related to biosynthesis or resistance.
PF03500,other,no,The domain description is not specific enough to assign a functional role related to biosynthetic gene clusters.
PF03502,other,no,"The domain is a channel protein, which does not directly relate to biosynthetic functions or resistance."
PF03512,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF03513,other,no,The domain is not described in a way that indicates a specific biosynthetic function or resistance.
PF03514,regulation,no,"GRAS proteins are implicated as transcription factors involved in plant growth signaling, but not directly related to resistance or self-protection."
PF03515,other,yes,Cloacin is a bacteriocin that can confer resistance by targeting and cleaving tRNAs in competing bacteria.
PF03519,other,no,The domain name and description do not provide specific information related to biosynthetic functions or resistance.
PF03522,other,no,"The SLC12 domain is a solute carrier family member, which does not directly relate to biosynthetic functions or resistance."
PF03524,other,no,"CagX is involved in conjugation and transfer processes, not directly related to biosynthetic functions or resistance."
PF03526,other,no,"The domain name 'Microcin' does not provide enough information to classify it under core, tailoring, transport, or regulation roles."
