pfam_id,clan_id,description
PF02862,,DDHD domain
PF02863,CL0738,"Arginine repressor, C-terminal domain"
PF02864,CL0073,"STAT protein, DNA binding domain"
PF02865,,"STAT protein, protein interaction domain"
PF02866,CL0341,"lactate/malate dehydrogenase, alpha/beta C-terminal domain"
PF02867,CL0339,"Ribonucleotide reductase, barrel domain"
PF02868,CL0126,"Thermolysin metallopeptidase, alpha-helical domain"
PF02870,CL0219,"6-O-methylguanine DNA methyltransferase, ribonuclease-like domain"
PF02872,CL0781,"5'-nucleotidase, C-terminal domain"
PF02873,,"UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain"
PF02874,CL0866,"ATP synthase alpha/beta family, beta-barrel domain"
PF02875,CL0794,"Mur ligase, glutamate ligase domain"
PF02876,CL0072,"Staphylococcal/Streptococcal toxin, beta-grasp domain"
PF02877,,"Poly(ADP-ribose) polymerase, regulatory domain"
PF02878,CL0754,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
PF02879,CL0754,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
PF02880,CL0754,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
PF02881,,"SRP54-type protein, helical bundle domain"
PF02882,CL0063,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
PF02883,CL0159,Adaptin C-terminal domain
PF02884,,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain"
PF02885,,"Glycosyl transferase family, helical bundle domain"
PF02886,CL0648,"LBP / BPI / CETP family, C-terminal domain"
PF02887,,"Pyruvate kinase, alpha/beta domain"
PF02888,,Calmodulin binding domain
PF02889,,Sec63 Brl domain
PF02890,,Borrelia family of unknown function DUF226
PF02891,CL0229,MIZ/SP-RING zinc finger
PF02892,CL0361,BED zinc finger
PF02893,CL0266,GRAM domain
PF02894,CL0139,"Oxidoreductase family, C-terminal alpha/beta domain"
PF02895,CL0025,"Signal transducing histidine kinase, homodimeric domain"
PF02896,CL0036,"PEP-utilising enzyme, PEP-binding domain"
PF02897,CL0186,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
PF02898,,"Nitric oxide synthase, oxygenase domain"
PF02899,CL0469,"Phage integrase, N-terminal SAM-like domain"
PF02900,CL0283,Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02901,CL0339,Pyruvate formate lyase-like
PF02902,CL0125,"Ulp1 protease family, C-terminal catalytic domain"
PF02903,CL0159,"Alpha amylase, N-terminal ig-like domain"
PF02905,,"Epstein Barr virus nuclear antigen-1, DNA-binding domain"
PF02906,,"Iron only hydrogenase large subunit, C-terminal domain"
PF02907,CL0124,Hepatitis C virus NS3 protease
PF02909,CL0174,"Tetracyclin repressor-like, C-terminal domain"
PF02910,,Fumarate reductase flavoprotein C-term
PF02911,,"Formyl transferase, C-terminal domain"
PF02912,CL0298,"Aminoacyl tRNA synthetase class II, N-terminal domain"
PF02913,CL0277,"FAD linked oxidases, C-terminal domain"
PF02914,CL0219,Bacteriophage Mu transposase
PF02915,CL0044,Rubrerythrin
PF02916,CL0060,DNA polymerase processivity factor
PF02917,CL0084,"Pertussis toxin, subunit 1"
PF02918,CL0658,"Pertussis toxin, subunit 2 and 3, C-terminal domain"
PF02919,,"Eukaryotic DNA topoisomerase I, DNA binding fragment"
PF02920,CL0081,DNA binding domain of tn916 integrase
PF02921,CL0300,Ubiquinol cytochrome reductase transmembrane region
PF02922,CL0369,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02923,CL0236,Restriction endonuclease BamHI
PF02924,,Bacteriophage lambda head decoration protein D
PF02925,,Bacteriophage scaffolding protein D
PF02926,CL0747,THUMP domain
PF02927,CL0159,Cellulase N-terminal ig-like domain
PF02928,,C5HC2 zinc finger
PF02929,CL0103,Beta galactosidase small chain
PF02931,,Neurotransmitter-gated ion-channel ligand binding domain
PF02932,,Neurotransmitter-gated ion-channel transmembrane region
PF02933,CL0402,"Cell division protein 48 (CDC48), domain 2"
PF02934,CL0286,GatB/GatE catalytic domain
PF02935,,Cytochrome c oxidase subunit VIIc
PF02936,,Cytochrome c oxidase subunit IV
PF02937,,Cytochrome c oxidase subunit VIc
PF02938,CL0250,GAD domain
PF02939,CL0429,UcrQ family
PF02940,CL0273,"mRNA capping enzyme, beta chain"
PF02941,CL0010,Ferredoxin thioredoxin reductase variable alpha chain
PF02942,CL0600,Influenza B non-structural protein (NS1)
PF02943,,Ferredoxin thioredoxin reductase catalytic beta chain
PF02944,,BESS motif
PF02945,CL0263,Recombination endonuclease VII
PF02946,,GTF2I-like repeat
PF02947,CL0053,flt3 ligand 
PF02948,,Amelogenin
PF02949,CL0176,7tm Odorant receptor
PF02950,CL0083,Conotoxin
PF02951,CL0063,"Prokaryotic glutathione synthetase, N-terminal domain"
PF02952,CL0866,"L-fucose isomerase, C-terminal domain"
PF02953,,Tim10/DDP family zinc finger
PF02954,CL0123,"Bacterial regulatory protein, Fis family"
PF02955,CL0179,"Prokaryotic glutathione synthetase, ATP-grasp domain"
PF02956,CL0055,TT viral orf 1
PF02957,,TT viral ORF2-like
PF02958,CL0016,Ecdysteroid kinase-like family
PF02959,,HTLV Tax
PF02960,CL0159,K1 glycoprotein
PF02961,CL0003,Barrier to autointegration factor
PF02962,CL0082,5-carboxymethyl-2-hydroxymuconate isomerase
PF02963,CL0236,Restriction endonuclease EcoRI
PF02964,,"Methane monooxygenase, hydrolase gamma chain"
PF02965,,"Vitamin B12 dependent methionine synthase, activation domain"
PF02966,CL0172,Mitosis protein DIM1
PF02969,CL0012,TATA box binding protein associated factor (TAF)
PF02970,CL0743,Tubulin binding cofactor A
PF02971,,Formiminotransferase domain
PF02972,,"Phycoerythrin, alpha/beta chain"
PF02973,CL0004,"Sialidase, N-terminal domain"
PF02974,CL0354,Protease inhibitor Inh
PF02975,,"Methylamine dehydrogenase, L chain"
PF02976,CL0236,DNA mismatch repair enzyme MutH
PF02977,CL0096,Carboxypeptidase A inhibitor
PF02978,CL0123,Signal peptide binding domain
PF02979,,"Nitrile hydratase, alpha chain"
PF02980,CL0123,"FokI, recognition domain, subdomain 2"
PF02981,CL0123,"FokI, recognition domain, subdomain 1"
PF02982,CL0051,Scytalone dehydratase
PF02983,,Alpha-lytic protease prodomain
PF02984,CL0065,"Cyclin, C-terminal domain"
PF02985,CL0020,HEAT repeat
PF02986,,Fibronectin binding repeat
PF02987,,Late embryogenesis abundant protein
PF02988,CL0117,Phospholipase A2 inhibitor
PF02989,,Lyme disease proteins of unknown function
PF02990,,Endomembrane protein 70
PF02991,CL0072,Autophagy protein Atg8 ubiquitin like
PF02992,CL0219,Transposase family tnp2
PF02993,,Minor capsid protein VI
PF02994,CL0221,L1 transposable element RBD-like domain
PF02995,CL0088,Protein of unknown function (DUF229)
PF02996,CL0200,Prefoldin subunit
PF02998,,Lentiviral Tat protein
PF02999,,Borrelia orf-D family
PF03000,,NPH3 family
PF03002,,Somatostatin/Cortistatin family
PF03003,,Pox virus entry-fusion-complex G9/A16
PF03004,,Plant transposase (Ptta/En/Spm family)
PF03006,CL0192,Haemolysin-III related
PF03007,CL0149,Wax ester synthase/diacylglycerol acyltransferase catalytic domain
PF03008,CL0236,Archaea bacterial proteins of unknown function
PF03009,CL0036,Glycerophosphoryl diester phosphodiesterase family
PF03010,,GP4
PF03011,CL0195,PFEMP1 DBL domain
PF03012,,Phosphoprotein
PF03013,,Pyrimidine dimer DNA glycosylase
PF03014,CL0055,Structural protein 2 nucleoplasmin-like domain
PF03015,,Male sterility protein
PF03016,CL0113,Exostosin GT47 domain
PF03017,,TNP1/EN/SPM transposase
PF03018,CL0650,Dirigent-like protein
PF03020,CL0306,LEM domain
PF03021,,Influenza C virus M2 protein
PF03022,CL0186,Major royal jelly protein
PF03023,CL0222,Lipid II flippase MurJ
PF03024,CL0644,Folate receptor family
PF03025,,Papillomavirus E5
PF03026,,Influenza C virus M1 protein
PF03028,CL0023,Dynein heavy chain region D6 P-loop domain 
PF03029,CL0023,Conserved hypothetical ATP binding protein
PF03030,,Inorganic H+ pyrophosphatase
PF03031,CL0137,NLI interacting factor-like phosphatase
PF03032,,Frog skin active peptide family signal and propeptide
PF03033,CL0113,Glycosyltransferase family 28 N-terminal domain
PF03034,,Phosphatidyl serine synthase
PF03035,,Calicivirus putative RNA polymerase/capsid protein
PF03036,CL0718,Perilipin family
PF03037,,Kinetoplastid membrane protein 11
PF03038,,UL95 family
PF03039,CL0053,Interleukin-12 alpha subunit
PF03040,,CemA family
PF03041,CL0242,lef-2
PF03042,,Birnavirus VP5 protein
PF03043,,Herpesvirus UL87 family
PF03044,,Herpesvirus UL16/UL94 family
PF03045,CL0079,DAN domain
PF03047,CL0400,COMC family
PF03048,,UL92 family
PF03049,,UL79 family
PF03050,CL0219,Transposase IS66 family 
PF03051,CL0125,Peptidase C1-like family
PF03052,,Adenoviral protein L1 52/55-kDa
PF03053,,ORF3b coronavirus protein
PF03054,CL0039,tRNA methyl transferase HUP domain
PF03055,CL0186,Retinal pigment epithelial membrane protein
PF03057,,DUF236 repeat
PF03058,,Sar8.2 family
PF03059,CL0063,Nicotianamine synthase protein
PF03060,CL0036,Nitronate monooxygenase
PF03061,CL0050,Thioesterase superfamily
PF03062,CL0517,"MBOAT, membrane-bound O-acyltransferase family"
PF03063,,Prismane/CO dehydrogenase family
PF03064,,HSV U79 / HCMV P34
PF03065,CL0158,Glycosyl hydrolase family 57
PF03066,CL0055,Nucleoplasmin/nucleophosmin domain
PF03067,CL0159,"Lytic polysaccharide mono-oxygenase, cellulose-degrading"
PF03068,CL0197,Protein-arginine deiminase (PAD)
PF03069,,Acetamidase/Formamidase family
PF03070,CL0230,TENA/THI-4/PQQC family
PF03071,CL0110,GNT-I family
PF03072,CL0835,Domain of unknown function (DUF237)
PF03073,,TspO/MBR family
PF03074,CL0286,Glutamate-cysteine ligase
PF03076,,Equine arteritis virus GP3
PF03077,,Putative vacuolating cytotoxin
PF03078,,ATHILA ORF-1 family
PF03079,CL0029,ARD/ARD' family
PF03080,CL0004,Neprosin
PF03081,CL0020,Exo70 exocyst complex subunit C-terminal
PF03082,,Male accessory gland secretory protein
PF03083,CL0141,Sugar efflux transporter for intercellular exchange
PF03084,,Reoviral Sigma1/Sigma2 family
PF03085,,Rhoptry-associated protein 1 (RAP-1)
PF03086,CL0835,Domain of unknown function (DUF240)
PF03087,CL0133,Protein BPS1
PF03088,CL0186,Strictosidine synthase
PF03089,CL0186,Recombination activating protein 2
PF03090,CL0243,Replicase family
PF03091,CL0089,CutA1 divalent ion tolerance protein
PF03092,CL0015,BT1 family
PF03094,,Mlo family
PF03095,,Phosphotyrosyl phosphate activator (PTPA) protein
PF03096,CL0028,Ndr family
PF03097,CL0020,BRO1-like domain
PF03098,CL0617,Animal haem peroxidase
PF03099,CL0040,Biotin/lipoate A/B protein ligase family
PF03100,CL0021,CcmE domain
PF03101,CL0274,FAR1 DNA-binding domain
PF03102,CL0036,NeuB family
PF03103,,Domain of unknown function (DUF243)
PF03104,CL0219,"DNA polymerase family B, exonuclease domain"
PF03105,,SPX domain
PF03106,CL0274,WRKY DNA -binding domain
PF03107,CL0229,C1 domain
PF03108,CL0274,MuDR family transposase
PF03109,CL0016,ABC1 atypical kinase-like domain
PF03110,,SBP domain
PF03112,,Uncharacterized protein family (ORF7) DUF
PF03113,,Respiratory synctial virus non-structural protein NS2
PF03114,CL0145,BAR domain
PF03115,CL0055,Astrovirus capsid protein nucleoplasmin-like domain
PF03116,,"NQR2, RnfD, RnfE family"
PF03117,,UL49 family
PF03118,CL0198,"Bacterial RNA polymerase, alpha chain C terminal domain"
PF03119,,NAD-dependent DNA ligase C4 zinc finger domain
PF03120,CL0021,NAD-dependent DNA ligase OB-fold domain
PF03121,,Herpesviridae UL52/UL70 DNA primase
PF03122,,Herpes virus major capsid protein
PF03123,,CAT RNA binding domain
PF03124,CL0182,EXS family
PF03125,CL0192,Sre G protein-coupled chemoreceptor
PF03126,,Plus-3 domain
PF03127,,GAT domain
PF03128,,CXCXC repeat
PF03129,CL0458,Anticodon binding domain
PF03130,CL0020,PBS lyase HEAT-like repeat
PF03131,CL0018,bZIP Maf transcription factor
PF03133,CL0179,Tubulin-tyrosine ligase family
PF03134,,"TB2/DP1, HVA22 family"
PF03135,,"CagE, TrbE, VirB family, component of type IV transporter system"
PF03136,CL0286,Pup-ligase protein
PF03137,CL0015,Organic Anion Transporter Polypeptide (OATP) family
PF03139,,Vanadium/alternative nitrogenase delta subunit
PF03140,,Plant protein of unknown function
PF03141,CL0063,Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03142,CL0110,Chitin synthase
PF03143,CL0740,Elongation factor Tu C-terminal domain
PF03144,CL0866,Elongation factor Tu domain 2
PF03145,CL0389,"Sina, TRAF-like domain"
PF03146,CL0353,Agrin NtA domain
PF03147,,Ferredoxin-fold anticodon binding domain
PF03148,,Tektin family
PF03150,CL0318,Di-haem cytochrome c peroxidase
PF03151,CL0184,Triose-phosphate Transporter family
PF03152,CL0199,"Ubiquitin fusion degradation protein UFD1, N-terminal subdomain 1"
PF03153,,"Transcription factor IIA, alpha/beta subunit"
PF03154,,Atrophin-1 family
PF03155,CL0111,"ALG6, ALG8 glycosyltransferase family"
PF03157,,High molecular weight glutenin subunit
PF03158,,Multigene family 530 protein
PF03159,CL0280,XRN 5'-3' exonuclease N-terminus
PF03160,CL0159,Calx-beta domain
PF03161,CL0324,LAGLIDADG DNA endonuclease family
PF03162,CL0031,Tyrosine phosphatase family
PF03165,CL0263,MH1 domain
PF03166,CL0357,MH2 domain
PF03167,,Uracil DNA glycosylase superfamily
PF03168,CL0159,Late embryogenesis abundant protein
PF03169,,OPT oligopeptide transporter protein
PF03170,CL0202,Bacterial cellulose synthase subunit
PF03171,CL0029,2OG-Fe(II) oxygenase superfamily
PF03172,,HSR domain
PF03173,CL0203,Putative carbohydrate binding domain
PF03174,CL0159,Chitobiase/beta-hexosaminidase C-terminal domain
PF03175,CL0194,"DNA polymerase type B, organellar and viral"
PF03176,CL0322,MMPL family
PF03177,CL0020,Non-repetitive/WGA-negative nucleoporin C-terminal
PF03178,CL0186,CPSF A subunit region
PF03179,CL0255,Vacuolar (H+)-ATPase G subunit
PF03180,CL0177,NlpA lipoprotein
PF03181,,BURP domain
PF03184,CL0219,DDE superfamily endonuclease
PF03185,,"Calcium-activated potassium channel, beta subunit"
PF03186,CL0685,CobD/Cbib protein
PF03187,,Corona nucleocapsid I protein
PF03188,CL0328,Eukaryotic cytochrome b561
PF03189,,Otopetrin
PF03190,CL0172,"Protein of unknown function, DUF255"
PF03192,CL0023,"Pyrococcus protein of unknown function, DUF257"
PF03193,CL0023,RsgA GTPase
PF03194,,LUC7 N_terminus
PF03195,,Lateral organ boundaries (LOB) domain
PF03196,,"Protein of unknown function, DUF261"
PF03197,,Bacteriophage FRD2 protein
PF03198,CL0036,Glucanosyltransferase
PF03199,CL0063,Eukaryotic glutathione synthase
PF03200,CL0059,Glycosyl hydrolase family 63 C-terminal domain
PF03201,CL0106,"H2-forming N5,N10-methylene-tetrahydromethanopterin dehydrogenase"
PF03202,,"Putative mycoplasma lipoprotein, C-terminal region"
PF03203,,MerC mercury resistance protein
PF03205,CL0023,Molybdopterin guanine dinucleotide synthesis protein B
PF03206,,Nitrogen fixation protein NifW
PF03207,,Borrelia outer surface protein D (OspD)
PF03208,,PRA1 family protein
PF03209,CL0015,PUCC protein
PF03210,,Paramyxovirus P/V phosphoprotein C-terminal
PF03211,CL0268,Pectate lyase
PF03212,CL0268,Pertactin
PF03213,CL0110,Poxvirus P35 protein
PF03214,CL0110,Reversibly glycosylated polypeptide
PF03215,CL0023,Rad17 P-loop domain
PF03216,,Rhabdovirus nucleoprotein
PF03217,CL0010,Surface layer protein A domain
PF03219,CL0015,TLC ATP/ADP transporter
PF03220,,Tombusvirus P19 core protein
PF03221,CL0123,Tc5 transposase DNA-binding domain
PF03222,CL0062,Tryptophan/tyrosine permease family
PF03223,,V-ATPase subunit C
PF03224,CL0020,V-ATPase subunit H
PF03225,,Viral heat shock protein Hsp90 homologue 
PF03226,CL0080,"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
PF03227,CL0172,Gamma interferon inducible lysosomal thiol reductase (GILT)
PF03228,,Adenoviral core protein VII
PF03229,,Alphavirus glycoprotein J
PF03230,,Antirestriction protein
PF03231,,"Tospovirus non-structural protein NS-S-like, N-terminal"
PF03232,CL0044,Ubiquinone biosynthesis protein COQ7
PF03233,,Aphid transmission protein
PF03234,,Cdc37 N terminal kinase binding
PF03235,CL0248,"GmrSD restriction endonuclease, N-terminal domain"
PF03237,CL0023,"Terminase large subunit, T4likevirus-type, N-terminal"
PF03238,,ESAG protein
PF03239,CL0292,Iron permease FTR1 family
PF03241,CL0087,4-hydroxyphenylacetate 3-hydroxylase C terminal
PF03242,,Late embryogenesis abundant protein (LEA_3a subfamily)
PF03243,,Alkylmercury lyase
PF03244,,Photosystem I reaction centre subunit VI
PF03245,CL0331,Bacteriophage Rz lysis protein
PF03246,CL0156,Pneumovirus nucleocapsid protein
PF03247,,Prothymosin/parathymosin family
PF03248,,Rer1 family
PF03249,CL0193,Type specific antigen 
PF03250,,Tropomodulin
PF03251,,Tymovirus 45/70Kd protein
PF03252,,Herpesvirus UL21
PF03253,,Urea transporter
PF03254,CL0113,Xyloglucan fucosyltransferase
PF03255,CL0127,Acetyl co-enzyme A carboxylase carboxyltransferase-like
PF03256,CL0202,"Anaphase-promoting complex, subunit 10 (APC10)"
PF03257,,"Mycoplasma adhesin P1, C-terminal"
PF03258,,Baculovirus FP protein
PF03259,CL0431,Roadblock/LC7 domain
PF03260,CL0066,Lepidopteran low molecular weight (30 kD) lipoprotein
PF03261,CL0065,Cyclin-dependent kinase 5 activator protein
PF03262,,Coronavirus 6B/7B protein
PF03263,,Cucumovirus protein 2B
PF03264,CL0317,"NapC/NirT cytochrome c family, N-terminal region"
PF03265,CL0479,Deoxyribonuclease II
PF03266,CL0023,NTPase
PF03268,CL0176,"Caenorhabditis protein of unknown function, DUF267"
PF03269,CL0063,"Caenorhabditis protein of unknown function, DUF268"
PF03270,,"Protein of unknown function, DUF269"
PF03271,,EB1-like C-terminal motif
PF03272,,Putative mucin or carbohydrate-binding module
PF03273,,Baculovirus gp64 envelope glycoprotein
PF03274,,Foamy virus BEL 1/2 protein
PF03275,CL0063,UDP-galactopyranose mutase
PF03276,CL0148,"Spumavirus gag protein, N-terminal"
PF03277,,Herpesvirus UL4 family
PF03278,,IpaB/EvcA family
PF03279,CL0228,Bacterial lipid A biosynthesis acyltransferase
PF03280,,Proteobacterial lipase chaperone protein
PF03281,CL0260,Mab-21 protein nucleotidyltransferase domain
PF03283,CL0028,Pectinacetylesterase
PF03284,CL0051,Phenazine biosynthesis protein A/B
PF03285,,Paralemmin
PF03286,,Pox virus Ag35 surface protein
PF03287,,Poxvirus C7/F8A protein
PF03288,CL0123,Poxvirus D5 protein-like
PF03289,,Poxvirus protein I1
PF03290,,Vaccinia virus I7 processing peptidase
PF03291,CL0063,mRNA (guanine-N(7))-methyltransferase domain
PF03292,,Poxvirus P4B major core protein
PF03293,,"Poxvirus DNA-directed RNA polymerase, 18 kD subunit"
PF03294,,"RNA polymerase-associated transcription specificity factor, Rap94"
PF03295,,Poxvirus trans-activator protein A1 C-terminal
PF03296,CL0260,Poxvirus poly(A) polymerase nucleotidyltransferase domain
PF03297,CL0123,S25 ribosomal protein
PF03298,,Stanniocalcin family
PF03299,,Transcription factor AP-2
PF03300,CL0571,"Tenuivirus non-structural, movement protein NS4"
PF03301,CL0380,"Tryptophan 2,3-dioxygenase"
PF03302,,Giardia variant-specific surface protein
PF03303,,WTF protein
PF03304,,Mlp lipoprotein family
PF03305,,Mycoplasma MG185/MG260 protein
PF03306,CL0615,Alpha-acetolactate decarboxylase
PF03307,,Adenovirus 15.3kD protein in E3 region
PF03308,CL0023,Methylmalonyl Co-A mutase-associated GTPase MeaB
PF03309,CL0108,Type III pantothenate kinase
PF03310,CL0720,Caulimovirus DNA-binding protein
PF03311,,Cornichon protein
PF03312,,Protein of unknown function (DUF272)
PF03313,CL0722,Serine dehydratase alpha chain
PF03314,CL0110,"Protein of unknown function, DUF273"
PF03315,CL0697,Serine dehydratase beta chain
PF03317,,ELF protein
PF03318,CL0345,Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
PF03319,CL0021,Ethanolamine utilisation protein EutN/carboxysome
PF03320,CL0171,"Bacterial fructose-1,6-bisphosphatase, glpX-encoded"
PF03321,CL0378,GH3 family N-terminal domain
PF03323,,Bacillus/Clostridium GerA spore germination protein
PF03324,,Herpesvirus DNA helicase/primase complex associated protein
PF03325,CL0060,Herpesvirus polymerase accessory protein
PF03326,,Herpesvirus transcription activation factor (transactivator)
PF03327,,Herpesvirus capsid shell protein VP19C
PF03328,CL0036,HpcH/HpaI aldolase/citrate lyase
PF03330,CL0199,Lytic transglycolase
PF03331,CL0329,UDP-3-O-acyl N-acetylglycosamine deacetylase
PF03332,CL0137,Eukaryotic phosphomannomutase
PF03333,CL0123,Adhesin biosynthesis transcription regulatory protein
PF03334,,Na+/H+ antiporter subunit
PF03335,,Phage tail fibre repeat
PF03336,CL0029,Poxvirus C4/C10 protein
PF03337,CL0194,Poxvirus F12L protein
PF03338,,Poxvirus J1 protein
PF03339,,Poxvirus L3/FP4 protein
PF03340,CL0055,Poxvirus rifampicin resistance protein
PF03341,CL0063,"Poxvirus mRNA capping enzyme, small subunit"
PF03342,,Rhabdovirus M1 matrix protein (M1 polymerase-associated protein)
PF03343,,SART-1 family
PF03344,,Daxx N-terminal Rassf1C-interacting domain
PF03345,CL0014,"OST48, N-terminal domain"
PF03347,CL0872,Vibrio thermostable direct hemolysin
PF03348,,Serine incorporator (Serinc)
PF03349,CL0193,Outer membrane protein transport protein (OMPP1/FadL/TodX)
PF03350,,"Uncharacterized protein family, UPF0114"
PF03351,CL0559,DOMON domain
PF03352,,Methyladenine glycosylase
PF03353,,Ras-mediated vulval-induction antagonist
PF03354,CL0023,"Terminase large subunit, ATPase domain"
PF03355,,Viral Trans-Activator Protein 
PF03356,,Viral late protein H2
PF03357,CL0235,Snf7
PF03358,CL0042,NADPH-dependent FMN reductase
PF03359,,Guanylate-kinase-associated protein (GKAP) protein
PF03360,CL0110,Glycosyltransferase family 43
PF03361,,Herpes virus intermediate/early protein 2/3
PF03362,,Herpesvirus UL47 protein
PF03363,,Herpesvirus leader protein
PF03364,CL0209,Polyketide cyclase / dehydrase and lipid transport
PF03366,CL0154,YEATS family
PF03367,CL0167,ZPR1 zinc-finger domain
PF03368,CL0196,Dicer dimerisation domain
PF03369,,Herpesvirus UL3 protein
PF03370,CL0576,Carbohydrate/starch-binding module (family 21)
PF03371,,PRP38 family
PF03372,CL0530,Endonuclease/Exonuclease/phosphatase family
PF03373,,Octapeptide repeat
PF03374,,Phage antirepressor protein KilAC domain
PF03376,,Adenovirus E3B protein
PF03377,CL0020,TAL effector repeat
PF03378,CL0020,"CAS/CSE protein, C-terminus"
PF03379,CL0181,CcmB protein
PF03380,,"Caenorhabditis protein of unknown function, DUF282"
PF03381,,LEM3 (ligand-effect modulator 3) family / CDC50 family
PF03382,CL0022,"Mycoplasma protein of unknown function, DUF285"
PF03383,CL0192,"Caenorhabditis serpentine receptor-like protein, class xa"
PF03384,,"Drosophila protein of unknown function, DUF287"
PF03385,CL0110,STELLO glycosyltransferases
PF03386,,Early nodulin 93 ENOD93 protein
PF03387,,Herpesvirus UL46 protein
PF03388,CL0004,Legume-like lectin family
PF03389,CL0169,MobA/MobL family
PF03390,CL0064,2-hydroxycarboxylate transporter family
PF03391,CL0055,"Nepovirus coat protein, central domain"
PF03392,,"Insect pheromone-binding family, A10/OS-D"
PF03393,CL0844,Pneumovirus matrix protein N-terminal domain
PF03394,,Poxvirus E8 protein
PF03395,,Poxvirus P4A protein
PF03396,,"Poxvirus DNA-directed RNA polymerase, 35 kD subunit"
PF03397,,Rhabdovirus matrix protein
PF03398,CL0235,Regulator of Vps4 activity in the MVB pathway
PF03399,CL0123,SAC3/GANP family
PF03400,CL0219,IS1 transposase
PF03401,CL0177,Tripartite tricarboxylate transporter family receptor
PF03402,CL0192,"Vomeronasal organ pheromone receptor family, V1R"
PF03403,CL0028,"Platelet-activating factor acetylhydrolase, isoform II"
PF03404,CL0159,Mo-co oxidoreductase dimerisation domain
PF03405,CL0044,Fatty acid desaturase
PF03406,,Phage tail fibre repeat
PF03407,CL0110,Nucleotide-diphospho-sugar transferase
PF03408,,Foamy virus envelope protein  
PF03409,,Transmembrane glycoprotein
PF03410,CL0094,Metallopeptidase from vaccinia pox
PF03411,CL0170,Penicillin-insensitive murein endopeptidase
PF03412,CL0125,Peptidase C39 family
PF03413,CL0320,Peptidase propeptide and YPEB domain
PF03414,CL0110,Glycosyltransferase family 6
PF03415,CL0093,Clostripain family
PF03416,CL0125,Peptidase C54 catalytic domain
PF03417,CL0052,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF03418,CL0095,Germination protease
PF03419,,Sporulation factor SpoIIGA 
PF03420,CL0201,Prohead core protein serine protease
PF03421,,YopJ Serine/Threonine acetyltransferase
PF03422,CL0202,Carbohydrate binding module (family 6)
PF03423,CL0576,Carbohydrate binding domain (family 25)
PF03424,CL0202,Carbohydrate binding domain (family 17/28)
PF03425,CL0202,Carbohydrate binding domain (family 11)
PF03426,CL0202,Carbohydrate binding domain (family 15)
PF03427,CL0155,Carbohydrate binding domain (family 19)
PF03428,CL0123,Replication protein C N-terminal domain
PF03429,,Major surface protein 1B
PF03430,,Trans-activating transcriptional regulator 
PF03431,,"RNA replicase, beta-chain "
PF03432,CL0169,"MobA/VirD2-like, nuclease domain"
PF03433,CL0628,EspA-like secreted protein 
PF03434,,DUF276 
PF03435,CL0063,Saccharopine dehydrogenase NADP binding domain
PF03436,,Domain of unknown function (DUF281) 
PF03437,CL0036,BtpA family
PF03438,,Pneumovirus NS1 protein
PF03439,CL0439,"Early transcription elongation factor of RNA pol II, NGN section"
PF03440,CL0056,Aerolysin/Pertussis toxin (APT) domain
PF03441,,FAD binding domain of DNA photolyase
PF03442,CL0159,Carbohydrate binding domain X2
PF03443,CL0159,Auxiliary Activity family 9 (formerly GH61)
PF03444,CL0123,"Winged helix-turn-helix transcription repressor, HrcA DNA-binding"
PF03445,CL0260,Putative nucleotidyltransferase DUF294
PF03446,CL0063,NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447,CL0063,"Homoserine dehydrogenase, NAD binding domain"
PF03448,CL0436,MgtE intracellular N domain
PF03449,,"Transcription elongation factor, N-terminal"
PF03450,CL0233,CO dehydrogenase flavoprotein C-terminal domain
PF03451,CL0186,HELP motif
PF03452,CL0110,Anp1
PF03453,,MoeA N-terminal region (domain I and II)
PF03454,,MoeA C-terminal region (domain IV)
PF03455,,dDENN domain
PF03456,CL0431,uDENN domain
PF03457,,Helicase associated domain
PF03458,,Glycine transporter
PF03459,CL0021,TOBE domain
PF03460,,Nitrite/Sulfite reductase ferredoxin-like half domain
PF03461,,TRCF domain
PF03462,,PCRF domain
PF03463,CL0267,eRF1 domain 1
PF03464,CL0267,eRF1 domain 2
PF03465,CL0101,eRF1 domain 3
PF03466,CL0177,LysR substrate binding domain
PF03467,CL0221,Smg-4/UPF3 family
PF03468,CL0221,XS domain
PF03469,,XH domain
PF03470,,XS zinc finger domain
PF03471,,Transporter associated domain
PF03472,CL0161,Autoinducer binding domain
PF03473,CL0036,MOSC domain
PF03474,CL0214,DMRTA motif
PF03475,,"YiiM-like, 3-alpha helix domain"
PF03476,,MOSC N-terminal beta barrel domain
PF03477,,ATP cone domain
